station_id,network,route_station_id,crs,station_name,route_group
uk_000663,GWR,GW0174,UMB,Umberleigh,
uk_000703,GWR,GW0175,UPW,Upwey,
uk_000664,GWR,GW0176,WGV,Wargrave,
uk_000688,GWR,GW0177,WMN,Warminster,
uk_000665,GWR,GW0178,WDT,West Drayton,
uk_000666,GWR,GW0179,WEA,West Ealing,
uk_000686,GWR,GW0180,WSB,Westbury,
uk_000667,GWR,GW0181,WSM,Weston-super-Mare,
uk_000704,GWR,GW0182,WEY,Weymouth,
uk_000668,GWR,GW0183,WNC,Windsor & Eton Central,
uk_000303,GWR,GW0184,WOF,Worcester Foregate Street,
uk_000304,GWR,GW0185,WOS,Worcester Shrub Hill,
uk_000671,GWR,GW0186,WOP,Worcestershire Parkway,
uk_000672,GWR,GW0187,WOR,Worle,
uk_000673,GWR,GW0188,YAT,Yatton,
uk_000674,GWR,GW0189,YEO,Yeoford,
uk_000697,GWR,GW0190,YVP,Yeovil Pen Mill,
uk_000699,GWR,GW0191,YET,Yetminster,
SCR001,Scotrail,SC0001,ABD,Aberdeen,
SCR002,Scotrail,SC0002,AUR,Aberdour,
SCR003,Scotrail,SC0003,AAT,Achanalt,
SCR004,Scotrail,SC0004,ACN,Achnasheen,
SCR005,Scotrail,SC0005,ACH,Achnashellach,
SCR006,Scotrail,SC0006,ADW,Addiewell,
SCR007,Scotrail,SC0007,AIR,Airbles,
SCR008,Scotrail,SC0008,ADR,Airdrie,
SCR009,Scotrail,SC0009,AXP,Alexandra Parade,
SCR010,Scotrail,SC0010,ALX,Alexandria,
SCR011,Scotrail,SC0011,ALO,Alloa,
SCR012,Scotrail,SC0012,ASS,Alness,
SCR013,Scotrail,SC0013,ABC,Altnabreac,
SCR014,Scotrail,SC0014,AND,Anderston,
SCR015,Scotrail,SC0015,ANN,Annan,
SCR016,Scotrail,SC0016,ANL,Anniesland,
SCR017,Scotrail,SC0017,ARB,Arbroath,
SCR018,Scotrail,SC0018,ARD,Ardgay,
SCR019,Scotrail,SC0019,AUI,Ardlui,
SCR020,Scotrail,SC0020,ADS,Ardrossan Harbour,
SCR021,Scotrail,SC0021,ASB,Ardrossan South Beach,
SCR022,Scotrail,SC0022,ADN,Ardrossan Town,
SCR023,Scotrail,SC0023,AGS,Argyle Street,
SCR024,Scotrail,SC0024,ARG,Arisaig,
SCR025,Scotrail,SC0025,ARM,Armadale,
SCR026,Scotrail,SC0026,ART,Arrochar & Tarbet,
SCR027,Scotrail,SC0027,ASF,Ashfield,
SCR028,Scotrail,SC0028,ATT,Attadale,
SCR029,Scotrail,SC0029,AUK,Auchinleck,
SCR030,Scotrail,SC0030,AVM,Aviemore,
SCR031,Scotrail,SC0031,AYR,Ayr,
SCR032,Scotrail,SC0032,BIO,Baillieston,
SCR033,Scotrail,SC0033,BHC,Balloch Central,
SCR034,Scotrail,SC0034,BSI,Balmossie,
SCR035,Scotrail,SC0035,BNV,Banavie,
SCR036,Scotrail,SC0036,BSS,Barassie,
SCR037,Scotrail,SC0037,BGI,Bargeddie,
SCR038,Scotrail,SC0038,BNL,Barnhill,
SCR039,Scotrail,SC0039,BRR,Barrhead,
SCR040,Scotrail,SC0040,BRL,Barrhill,
SCR041,Scotrail,SC0041,BYL,Barry Links,
SCR042,Scotrail,SC0042,BHG,Bathgate,
SCR043,Scotrail,SC0043,BRN,Bearsden,
SCR044,Scotrail,SC0044,BSL,Beasdale,
SCR045,Scotrail,SC0045,BEL,Beauly,
SCR046,Scotrail,SC0046,BLG,Bellgrove,
SCR047,Scotrail,SC0047,BLH,Bellshill,
SCR048,Scotrail,SC0048,BBG,Bishopbriggs,
SCR049,Scotrail,SC0049,BPT,Bishopton,
SCR050,Scotrail,SC0050,BKR,Blackridge,
SCR051,Scotrail,SC0051,BLA,Blair Atholl,
SCR052,Scotrail,SC0052,BAI,Blairhill,
SCR053,Scotrail,SC0053,BLT,Blantyre,
SCR054,Scotrail,SC0054,BGS,Bogston,
SCR055,Scotrail,SC0055,BWG,Bowling,
SCR056,Scotrail,SC0056,BCN,Branchton,
SCR057,Scotrail,SC0057,BRC,Breich,
SCR058,Scotrail,SC0058,BEA,Bridge of Allan,
SCR059,Scotrail,SC0059,BRO,Bridge of Orchy,
SCR060,Scotrail,SC0060,BDG,Bridgeton,
SCR061,Scotrail,SC0061,BRA,Brora,
SCR062,Scotrail,SC0062,BYF,Broughty Ferry,
SCR063,Scotrail,SC0063,BSU,Brunstane,
SCR064,Scotrail,SC0064,BUI,Burnside,
SCR065,Scotrail,SC0065,BTS,Burntisland,
SCR066,Scotrail,SC0066,BUS,Busby,
SCR067,Scotrail,SC0067,CAC,Caldercruix,
SCR068,Scotrail,SC0068,CBL,Cambuslang,
SCR069,Scotrail,SC0069,CMO,Camelon,
SCR070,Scotrail,SC0070,CBX,Cameron Bridge,
SCR071,Scotrail,SC0071,CDD,Cardenden,
SCR072,Scotrail,SC0072,CDO,Cardonald,
SCR073,Scotrail,SC0073,CDR,Cardross,
SCR074,Scotrail,SC0074,CRF,Carfin,
SCR075,Scotrail,SC0075,CLU,Carluke,
SCR076,Scotrail,SC0076,CML,Carmyle,
SCR077,Scotrail,SC0077,CAN,Carnoustie,
SCR078,Scotrail,SC0078,CAY,Carntyne,
SCR079,Scotrail,SC0079,CAG,Carrbridge,
SCR080,Scotrail,SC0080,CRS,Carstairs,
SCR081,Scotrail,SC0081,CDY,Cartsdyke,
SCR082,Scotrail,SC0082,CCT,Cathcart,
SCR083,Scotrail,SC0083,CHC,Charing Cross (Glasgow),
SCR084,Scotrail,SC0084,CTE,Chatelherault,
SCR085,Scotrail,SC0085,CKS,Clarkston,
SCR086,Scotrail,SC0086,CEA,Cleland,
SCR087,Scotrail,SC0087,CYK,Clydebank,
SCR088,Scotrail,SC0088,CBC,Coatbridge Central,
SCR089,Scotrail,SC0089,CBS,Coatbridge Sunnyside,
SCR090,Scotrail,SC0090,COA,Coatdyke,
SCR091,Scotrail,SC0091,CON,Connel Ferry,
SCR092,Scotrail,SC0092,CBD,Conon Bridge,
SCR093,Scotrail,SC0093,CKH,Corkerhill,
